,Song_Name,Artist,Length,Bpm,Key,Loudness,Popularity,Energy,Speechiness,Danceability,Positiveness,Liveness,Instrumentalness,Release_Date,Country_Code
667,3000 Year Long Song,Rampant Egos,16:26,99,C Minor,-12.1db,0%,55%,4%,32%,31%,13%,0%,29th November 2014,usx9p1430503
668,Beelzeboss (The Final Showdown),Tenacious D,05:35,131,D Major,-3.74db,61%,88%,21%,47%,43%,17%,0%,2nd November 2006,USSM10605855
669,Hoochie Coochie - 2006 Digital Remaster,"The Hoochie Coochie Men, Long John Baldry",03:49,98,A Major,-7.54db,3%,58%,5%,43%,59%,21%,1%,1st January 2006,GBAYE0501899
670,Koop Island Blues,"Koop, Ane Brun",04:32,79,A# Minor,-9.04db,48%,54%,3%,56%,52%,29%,5%,3rd October 2006,SELEI0600604
671,Cuckoo - Mono; 2006 Digital Remaster,Long John Baldry,02:33,120,A Major,-5.55db,0%,68%,7%,75%,90%,8%,3%,1st January 2006,GBAYE0501931
672,Weapon Of Choice,Fatboy Slim,03:39,196,G# Minor,-4.45db,48%,95%,6%,62%,95%,18%,79%,18th June 2006,GBBMQ0600006
673,"Ethnomarket (2006 Version, Leftovers Edit)",Ethnofobia,05:40,120,A# Minor,-7.35db,0%,91%,9%,45%,63%,25%,88%,31st October 2017,CAGOO1919940
674,Jenny Don't Be Hasty,Paolo Nutini,03:27,120,A Major,-8.51db,61%,67%,3%,81%,95%,10%,0%,17th July 2006,GBAHS0600226
675,"RTL (2006 Version, Leftovers Edit)",Ethnofobia,04:30,120,D# Major,-10.55db,0%,83%,6%,51%,43%,7%,2%,31st October 2017,CAGOO1920256
676,Some Unholy War,Amy Winehouse,02:22,176,A Minor,-15.56db,59%,44%,16%,49%,46%,11%,0%,20th June 2021,GBUM70603490
677,Another Year,Own Road,03:03,103,A Minor,-16.91db,0%,22%,4%,34%,14%,12%,61%,1st December 2012,DKUG31600419
678,Chain Hang Low,Jibbs,03:27,157,E Minor,-6.87db,58%,59%,26%,79%,78%,11%,0%,1st January 2006,USUM70603196
679,Spirit Emotion (2006) - Division 7 Mix,Mikas,08:15,128,G Major,-8.96db,0%,96%,6%,58%,34%,20%,86%,19th December 2017,GBLV61718092
680,,,,,,,,,,,,,,,
681,"Recycler (2006 Version, Leftovers Edit)",Ethnofobia,03:30,132,B Minor,-10.51db,0%,66%,5%,61%,32%,19%,80%,31st October 2017,CAGOO1920122
682,Done Did It,Katchafire,03:46,132,B Minor,-8.59db,29%,50%,6%,89%,96%,7%,0%,24th May 2006,JMA271501712
683,Midnight People - Original Mix 2006,Analog Trip,07:34,120,G Minor,-8.86db,0%,76%,5%,80%,59%,7%,83%,26th December 2016,US83Z1664949
684,Time of Dying,Three Days Grace,03:06,198,C Minor,-3.67db,65%,87%,6%,31%,45%,52%,0%,25th June 2006,USJI10600165
685,Understatement of the Year,always rushing by,03:44,92,E Major,-10.98db,1%,73%,5%,53%,46%,28%,0%,14th April 2018,TCADP1821935
686,This Is How I Disappear,My Chemical Romance,03:59,163,D Major,-2.68db,62%,98%,11%,24%,30%,30%,0%,23rd October 2006,USRE10602905
687,Year of Jubilo,Hope Hoffman,03:22,114,D Major,-13.94db,0%,48%,7%,74%,97%,30%,28%,1st October 2010,ushm91016365
688,Bounce,Katchafire,03:26,103,E Major,-5.21db,29%,85%,14%,89%,89%,7%,0%,24th May 2006,JMA271501715
689,Year of Jubilo,Hope Hoffman,02:24,117,D Major,-12.7db,0%,29%,10%,77%,89%,6%,32%,1st October 2010,ushm91016371
690,Walkin' After Midnight,Patsy Cline,02:34,136,C Major,-15.36db,53%,19%,4%,56%,77%,32%,0%,20th June 2021,DEZ040901729
691,Thousands Years of Nothing,Manic Depression,06:11,105,D Major,-6.57db,0%,97%,6%,56%,56%,30%,7%,17th May 2015,QM4DW1507510
692,Imagine,"Snoop Dogg, Dr. Dre, D'Angelo",04:42,87,F# Minor,-3.79db,56%,63%,44%,80%,64%,25%,0%,1st January 2006,USUM70617147
693,Hard Way to Die - 2006 Remaster,Man,05:20,110,E Minor,-5.8db,0%,50%,3%,69%,66%,17%,0%,26th June 2006,GBAYE0600423
694,Shine,Take That,03:31,90,G# Major,-3.4db,41%,85%,4%,58%,77%,10%,0%,1st January 2006,GBUM70605021
695,The Premium Bond Theme - 2006 Remaster,Roy Wood,04:28,112,A Minor,-8.45db,2%,75%,3%,59%,41%,27%,90%,3rd April 2006,GBAYE0600007
696,Runaway Love,"Ludacris, Mary J. Blige",04:40,93,C# Major,-6.97db,53%,72%,28%,41%,82%,25%,0%,1st January 2006,USUM70609877
697,Hell Among The Yearlings,Olivia Smiley,01:38,109,D Major,-7.88db,0%,62%,4%,66%,80%,86%,14%,24th September 2011,ushm81184202
698,Slow Cheetah,Red Hot Chili Peppers,05:19,178,C# Major,-7.8db,58%,34%,4%,39%,24%,7%,0%,9th May 2006,USWB10601596
699,Voices from Heaven Meditation 2 (2006),"Didge Therapy, Joseph B. Carringer",18:34,101,D# Major,-23.91db,0%,4%,4%,22%,10%,11%,89%,15th September 2015,QM6P41526304
700,Lithium,Evanescence,03:44,118,A# Minor,-3.83db,62%,63%,4%,48%,21%,10%,0%,1st January 2006,USWU30600104
701,Back into the Future - 2006 Remaster,Man,04:05,131,F Major,-7.95db,0%,83%,3%,41%,19%,10%,31%,26th June 2006,GBAYE0600419
702,Charlie,Red Hot Chili Peppers,04:37,110,G Minor,-3.45db,60%,91%,7%,60%,51%,9%,0%,9th May 2006,USWB10601592
703,Voices from Heaven Meditation 1 (2006),"Didge Therapy, Joseph B. Carringer",23:42,82,C Minor,-24.19db,0%,4%,4%,16%,5%,11%,89%,15th September 2015,QM6P41526303
704,No Buses,Arctic Monkeys,03:17,102,E Major,-9.05db,51%,52%,4%,48%,43%,5%,0%,22nd April 2006,GBCEL0600172
705,99 Year Blues,Hot Tuna,08:44,100,E Major,-17.09db,0%,34%,3%,64%,55%,73%,39%,13th July 2010,USA371083712
706,Woman,Wolfmother,02:56,113,D Major,-3.62db,64%,95%,18%,22%,17%,16%,10%,1st January 2006,AUUM70500113
707,千年幻想郷 2006,Phoenix Project,03:58,150,D Major,-3.04db,2%,93%,7%,27%,24%,33%,93%,6th May 2018,JPW561909296
708,Love You I Do,Jennifer Hudson,02:48,117,A# Major,-4.14db,48%,67%,5%,82%,55%,13%,0%,9th January 2006,USLIC0602162
709,The Year Was 1930,Kenneth Pierce,03:30,95,G Major,-11.69db,0%,46%,16%,83%,46%,5%,0%,1st January 2006,ushm80699195
710,Should've Said No,Taylor Swift,04:04,168,E Minor,-3.89db,52%,76%,3%,48%,53%,20%,0%,24th October 2006,USCJY0603021
711,Unseen Hands - Mono; 2006 Digital Remaster,Long John Baldry,03:24,116,D Minor,-7.14db,0%,63%,5%,36%,56%,24%,0%,1st January 2006,GBAYE0501927
712,Wake Up,The Living End,04:31,116,B Minor,-5.49db,37%,73%,3%,48%,29%,22%,0%,4th February 2006,AUKVO0500011
713,Down To Zero - 2006 Remastered Version,Roy Wood,02:41,161,A Major,-6.55db,2%,87%,4%,58%,96%,10%,0%,3rd April 2006,GBAYE0600011
714,Patience,Take That,03:22,176,A# Major,-4.15db,42%,78%,4%,31%,37%,12%,0%,1st January 2006,GBUM70605124
715,Roll 'Em Pete - 2006 Digital Remaster,"The Hoochie Coochie Men, Long John Baldry",03:31,109,C Major,-8.3db,2%,79%,14%,53%,83%,32%,0%,1st January 2006,GBAYE0501897
716,Vultures,John Mayer,04:10,98,E Major,-10.39db,59%,48%,3%,88%,80%,7%,1%,11th September 2006,USSM10603630
717,Rooftop Sleeper (Tinfoil Isopod Bridge 2006),Blaise Kolodychuk and the Fukachuk Egg Machine,02:31,120,D Major,-8.24db,0%,75%,5%,40%,11%,38%,13%,8th December 2018,QZMEP2044455
718,I Loved Her First,Heartland,03:32,137,E Major,-6.51db,60%,38%,3%,41%,18%,11%,0%,10th October 2006,USCTP0600062
719,Keep On Running - 2006 Digital Remaster,Long John Baldry,02:18,138,G Major,-5.86db,1%,61%,4%,54%,87%,6%,0%,1st January 2006,GBAYE0501921
720,Riot Van,Arctic Monkeys,02:14,104,A Major,-14.34db,48%,33%,5%,59%,26%,25%,0%,29th January 2006,GBCEL0501186
721,Dismantling Five Years,Venetian Snares,06:19,129,A Minor,-19.86db,1%,19%,4%,22%,4%,9%,90%,27th May 2002,US78Q0500181
722,The Answer,The Black Seeds,03:49,74,A Major,-7.18db,20%,63%,8%,79%,94%,10%,0%,20th June 2021,NZEM00600051
723,You'll Be Mine - 2006 Digital Remaster,"The Hoochie Coochie Men, Long John Baldry",02:34,116,D Major,-5.89db,0%,86%,7%,70%,94%,13%,0%,1st January 2006,GBAYE0501907
724,Stick to the Status Quo,High School Musical Cast,04:28,160,E Major,-7.08db,58%,72%,19%,71%,82%,25%,0%,1st January 2006,USWD10527739
725,Bad Luck Soul - 2006 Digital Remaster,Long John Baldry,02:22,156,D Major,-8.43db,0%,63%,29%,52%,85%,8%,0%,1st January 2006,GBAYE0501924
726,What I've Been Looking For,"Ryan, Sharpay Evans",02:03,140,A Major,-6.82db,58%,60%,3%,66%,72%,9%,0%,1st January 2006,USWD10527737
727,Goin' Down Slow - 2006 Digital Remaster,"The Hoochie Coochie Men, Long John Baldry",03:57,81,A Major,-9.93db,1%,38%,3%,59%,51%,16%,1%,1st January 2006,GBAYE0501905
728,Riot Maker,"Tech N9ne, Snug Brim, Skatterman",05:31,162,D Major,-3.7db,57%,66%,34%,70%,62%,59%,0%,20th June 2021,USZHR0600002
729,"New Year, New Heart - Stay",Matisse,04:51,186,A# Major,-8.63db,0%,51%,3%,31%,26%,10%,0%,21st June 2021,FR2X41470941
730,Not Good Enough For Truth In Cliche',Escape the Fate,03:51,159,F Major,-4.44db,61%,90%,11%,37%,36%,11%,0%,3rd October 2006,USEP40622208
731,Battle Un2 the Year Fantastique,Count Robocula,02:32,120,G# Major,-10.98db,0%,55%,6%,63%,11%,32%,3%,25th October 2011,uscgj1282637
732,Conceited (There's Something About Remy),Remy Ma,03:39,124,B Major,-7.79db,58%,57%,51%,70%,59%,18%,0%,1st January 2006,USUM70504488
733,Eat 'em While They're Blue (2006),Abandon Kansas,04:14,170,E Major,-7.48db,0%,80%,6%,35%,28%,10%,1%,4th December 2007,TCADI1763992
734,4 In The Morning,Gwen Stefani,04:51,92,A# Major,-6.26db,49%,83%,3%,70%,50%,11%,0%,1st December 2006,USUM70618695
735,Hard Year,Kris Drever,04:05,124,C Major,-8.46db,0%,74%,3%,63%,80%,15%,0%,11th December 2020,GBLDH1500034
736,One More Time - Radio Edit [Short Radio Edit],Daft Punk,03:55,123,D Major,-8.49db,61%,67%,10%,65%,53%,38%,0%,29th March 2006,GBDUW0000054
737,Whisper in the Night - Quad Mix; 2006 Remaster,Electric Light Orchestra,04:46,71,C Major,-16.89db,2%,14%,3%,39%,21%,8%,1%,31st July 2006,GBAYE0600332
738,You Don't Know,"Eminem, 50 Cent, Ca$his, Lloyd Banks",04:17,85,A# Minor,-1.85db,62%,86%,13%,77%,75%,10%,0%,4th December 2006,USUM70613171
739,House Next Door - Mono; 2006 Digital Remaster,Long John Baldry,02:42,114,A Major,-6.87db,0%,63%,4%,56%,80%,26%,0%,1st January 2006,GBAYE0501926
740,Put Your Hands Up For Detroit - Radio Edit,Fedde Le Grand,02:28,128,G Major,-5.94db,36%,91%,23%,82%,48%,9%,17%,26th June 2006,GBHAD0600321
741,Idra (the Factory in the City 2006),Blaise Kolodychuk and the Fukachuk Egg Machine,05:22,104,D Major,-11.8db,0%,90%,5%,64%,35%,15%,51%,8th December 2018,QZMEP2044456
742,Let Down,"Easy Star All-Stars, Toots & The Maytals",04:44,113,A Major,-6.27db,56%,59%,4%,75%,92%,8%,0%,2nd February 2006,US4CL0610005
743,Birth of Love (2006 Purple Horse Version),Ethnofobia,09:11,120,C# Major,-9.31db,0%,76%,4%,70%,15%,92%,17%,31st October 2017,CAGOO1919402
744,To Know Him Is To Love Him - Live,Amy Winehouse,02:25,170,G Minor,-8.67db,58%,20%,5%,48%,37%,8%,0%,20th June 2021,GBUM70606486
745,Cry Me A River - 2006 Digital Remaster,Long John Baldry,02:58,109,G Minor,-8.79db,1%,61%,11%,50%,61%,19%,0%,1st January 2006,GBAYE0501917
746,Stadium Arcadium,Red Hot Chili Peppers,05:14,113,A Major,-3.93db,58%,71%,3%,49%,22%,16%,0%,9th May 2006,USWB10601593
747,Manhattan Rumble (49th Street Massacre) - Quad Mix; 2006 Remaster,Electric Light Orchestra,04:24,110,A# Minor,-13.08db,2%,51%,4%,49%,37%,9%,93%,31st July 2006,GBAYE0600331
748,"Sorry, Blame It On Me",Akon,04:55,176,G Major,-7.39db,57%,65%,28%,70%,57%,8%,0%,20th June 2021,USUM70743018
749,Daughter of the Fireplace - Single Version; 2006 Remaster,Man,03:08,180,E Major,-7.24db,4%,93%,7%,33%,96%,31%,0%,26th June 2006,GBAYE0600415
750,Disenchanted,My Chemical Romance,04:55,174,D Major,-3.93db,63%,69%,4%,34%,15%,11%,0%,23rd October 2006,USRE10602913
751,Five Years Ahead Of My Time,The Living Sickness,02:22,84,A Major,-8.8db,0%,65%,4%,19%,24%,19%,0%,30th August 2020,GBSMU8574192
752,Beach in Hawaii,Ziggy Marley,03:44,99,A Minor,-8.93db,56%,48%,4%,81%,88%,8%,0%,2nd July 2006,USFT50600006
753,Reflections On A 50 Year Marriage,Sara Sorce,02:53,123,C# Major,-12.59db,0%,33%,4%,47%,64%,23%,3%,1st January 2007,uscgj0744384
754,Sometimes Enough,The Black Seeds,04:46,99,F Major,-7.29db,17%,76%,7%,80%,63%,8%,0%,20th June 2021,NZEM00600050
755,A Hard Way to Live - Live; 2006 Remaster,Man,03:01,90,D Major,-5.18db,0%,94%,12%,53%,76%,80%,0%,26th June 2006,GBAYE0600445
756,Shake That - Album Version (Edited)- SUPERCLEAN,Eminem,04:34,107,B Major,-6.02db,43%,61%,8%,96%,57%,14%,0%,17th January 2006,USUM70506388
757,Reflections On a 50 Year Marriage,Sara Sorce,02:53,122,C# Major,-12.61db,0%,33%,4%,49%,66%,23%,4%,4th March 2013,uscgj1372150
758,Fallen Leaves,Billy Talent,03:19,123,D# Major,-4.08db,67%,81%,4%,71%,91%,7%,0%,23rd June 2006,USAT20612286
759,Turn On Your Love Light - 2006 Digital Remaster,Long John Baldry,02:10,91,C# Major,-7.92db,1%,75%,22%,57%,72%,12%,0%,1st January 2006,GBAYE0501919
760,Strip My Mind,Red Hot Chili Peppers,04:19,136,C Major,-5.07db,56%,65%,3%,39%,26%,11%,0%,9th May 2006,USWB10601598
761,Larga (2006),Gilyto Mr. Entertainer,05:26,160,C Major,-3.69db,0%,93%,20%,69%,75%,26%,0%,16th December 2011,usx9p1118635
762,Redemption Song,Katchafire,03:58,131,G Major,-9.25db,30%,30%,5%,66%,53%,9%,0%,24th May 2006,JMA271501716
763,Turn On Your Lovelight - Mono; 2006 Digital Remaster,Long John Baldry,02:27,179,C Major,-4.83db,3%,93%,40%,43%,55%,9%,0%,1st January 2006,GBAYE0501928
764,Thin Line,"Chong-Nee, Jigsaw",04:19,99,A# Major,-5.41db,28%,54%,25%,78%,74%,6%,0%,20th June 2021,NZKT00600014
765,YearZero [ASOT 281] - Original Mix,"Andy Moor, Orkidea",00:59,138,F# Major,-10.66db,6%,95%,5%,49%,21%,38%,97%,28th December 2006,NLF711313627
766,The End.,My Chemical Romance,01:52,175,D Major,-4.98db,61%,55%,4%,29%,21%,41%,0%,23rd October 2006,USRE10602903
767,I'm On To You Baby - 2006 Digital Remaster,Long John Baldry,02:54,170,G Major,-8.39db,0%,57%,9%,36%,63%,10%,0%,1st January 2006,GBAYE0501909
768,World Hold on (Children of the Sky) [Radio Edit],"Bob Sinclar, Steve Edwards",03:24,127,G# Minor,-1.9db,67%,93%,10%,74%,62%,6%,0%,6th June 2006,FR4E41811690
769,Make It Easy On Yourself - 2006 Digital Remaster,Long John Baldry,02:58,90,A# Major,-9.42db,1%,55%,3%,46%,58%,9%,0%,1st January 2006,GBAYE0501914
770,Loud Pipes,Ratatat,03:46,88,G Minor,-7.16db,60%,70%,4%,72%,85%,21%,82%,22nd August 2006,GBBKS0600074
771,Stop Her On Sight (S.O.S.) - 2006 Digital Remaster,Long John Baldry,01:56,144,G Minor,-6.25db,0%,93%,11%,54%,74%,9%,0%,1st January 2006,GBAYE0501918
772,Back In Time,Huey Lewis & The News,04:18,120,G Major,-5.45db,61%,84%,4%,76%,84%,7%,1%,1st January 2006,USCA20600526
773,Neujahrsgruß / New Year's Address / Allocution du Nouvel An,"Various Artists, Mariss Jansons, Wiener Philharmoniker",01:29,97,F Major,-29.99db,1%,15%,90%,63%,65%,79%,0%,20th June 2021,USSM11305859
774,Rock Me Tonight (For Old Times Sake),Freddie Jackson,04:04,144,C# Major,-6.63db,51%,61%,4%,71%,52%,6%,0%,1st January 2006,USCA29600806
775,Secret Book (the Tables Are Above Me 2006),Blaise Kolodychuk and the Fukachuk Egg Machine,02:27,120,A Major,-18.38db,0%,41%,6%,42%,21%,13%,93%,8th December 2018,QZMEP2044457
776,Addicted,Amy Winehouse,02:45,108,G# Major,-14.44db,57%,51%,5%,78%,79%,10%,2%,20th June 2021,GBUM70604699
777,Ain't Nothing You Can Do - 2006 Digital Remaster,Long John Baldry,02:34,111,G Major,-7.68db,0%,51%,6%,71%,64%,8%,0%,1st January 2006,GBAYE0501922
778,Samson,Regina Spektor,03:09,89,B Major,-9.54db,57%,19%,4%,49%,18%,11%,0%,13th June 2006,USWB10601621
779,Through All The Years/Fly My Way,Tunghook,04:52,141,C Major,-6.41db,0%,94%,9%,34%,19%,54%,53%,1st January 2007,usx9p0676386
780,Shake That (Remix),"Nate Dogg, Eminem, Obie Trice, Bobby Creekwater",02:59,107,G# Major,-3.75db,47%,70%,16%,95%,62%,15%,0%,1st January 2006,USUM70618362
781,"Many Are Called, but Few Get Up - 2006 Remaster",Man,10:48,153,E Minor,-7.53db,0%,76%,7%,36%,8%,88%,47%,26th June 2006,GBAYE0600420
782,Whistle For The Choir,The Fratellis,03:35,132,E Major,-4.55db,49%,70%,3%,60%,73%,12%,0%,1st January 2006,GBUM70601572
783,,,00:00,0,,0db,0%,0%,0%,0%,0%,0%,0%,1st January 1970,N/A
784,This Fire,Killswitch Engage,03:09,140,G Major,-3.02db,61%,99%,11%,45%,11%,47%,3%,21st January 2006,NLA320785928
785,,,00:00,0,,0db,0%,0%,0%,0%,0%,0%,0%,1st January 1970,N/A
786,,,00:00,0,,0db,0%,0%,0%,0%,0%,0%,0%,1st January 1970,N/A
787,Remember in 2006 When It Was Fashionable to Have the Longest Song Name...,Next Year,03:24,180,G# Major,-6.79db,1%,92%,11%,35%,64%,5%,0%,19th June 2020,ushm22094354
788,With Or Without You - Remastered,U2,04:55,110,D Major,-7.44db,79%,54%,3%,55%,9%,13%,29%,1st January 2006,GBUM70709792
789,How Long Will It Last - Mono; 2006 Digital Remaster,Long John Baldry,01:48,118,E Minor,-5.99db,0%,78%,4%,57%,77%,9%,0%,1st January 2006,GBAYE0501925
790,Whispers in the Dark,Skillet,03:24,94,B Minor,-3.88db,65%,94%,7%,51%,34%,14%,0%,3rd October 2006,USAT20619190
791,Year Zero [ASOT 280] - Original Mix,"Andy Moor, Orkidea",05:23,135,B Minor,-9.87db,3%,93%,5%,50%,14%,13%,81%,21st December 2006,NLF711307756
792,In the Rain,"Shapeshifter, Ladi6",05:31,175,E Minor,-6.66db,18%,84%,5%,58%,71%,30%,2%,1st January 2006,NZTT00600002
793,Hindustan - Live Rome Marveio Classic Jazz Festival 2006,Lino Patruno,05:43,130,G# Major,-9.33db,0%,61%,5%,57%,74%,91%,0%,20th June 2021,ITE871605494
794,Let's Get Married - ReMarqable Remix,"Jagged Edge, RUN, Lamarquis Jefferson",04:09,110,C# Major,-6.77db,59%,69%,7%,85%,79%,13%,0%,21st November 2006,USSM10009558
795,"Final Product - live at the Zeche Bochum, Germany, October 11th, 2006",Nevermore,05:09,146,F Minor,-5.06db,12%,98%,17%,28%,8%,89%,11%,13th July 2008,US4E40831001
796,Misty Frequencies,Ché-Fu,03:13,72,F# Major,-11.3db,27%,52%,5%,74%,54%,10%,0%,28th August 2006,NZSM00100309
797,"I, Voyager - live at the Zeche Bochum, Germany, October 11th, 2006",Nevermore,06:13,156,F# Major,-4.93db,11%,97%,11%,30%,18%,96%,8%,13th July 2008,US4E40831006
798,Our Song,Taylor Swift,03:21,89,D Major,-4.93db,68%,67%,3%,67%,54%,33%,0%,24th October 2006,USCJY0703142
799,Now I Lay Me (Club Remix 2006),"Jesse Mader, Amanda Rok",03:34,120,C Major,-5.98db,0%,78%,6%,86%,83%,25%,0%,27th December 2017,TCADL1807201
800,Dumpin',"2Pac, Hussein Fatal, Papoose, Carl Thomas",04:27,187,G# Major,-5.11db,55%,84%,47%,54%,40%,21%,0%,1st January 2006,USUM70616226
801,"Sentient 6 - live at the Zeche Bochum, Germany, October 11th, 2006",Nevermore,07:01,122,C# Minor,-5.16db,9%,93%,6%,44%,17%,94%,0%,13th July 2008,US4E40831015
802,Blow the Whistle,Too $hort,02:43,100,C# Major,-5.56db,63%,63%,20%,91%,61%,15%,0%,28th August 2006,USJI10600031
803,Only A Fool Breaks His Own Heart - 2006 Digital Remaster,Long John Baldry,02:43,92,G Major,-7.62db,3%,58%,3%,55%,42%,12%,0%,1st January 2006,GBAYE0501913
804,Who Betta Than This,PNC,04:17,150,C# Minor,-4.21db,27%,65%,4%,77%,54%,33%,0%,1st January 2006,NZDI00600308
805,Einsamer Winterweg2006,Wedard,08:46,104,A Minor,-11.74db,8%,84%,6%,15%,4%,12%,67%,14th October 2012,QZBRF1839266
806,For Reasons Unknown,The Killers,03:32,140,D# Major,-4.21db,60%,88%,4%,50%,52%,11%,4%,27th September 2006,USUM70605413
807,7171 511 - Live at the Roundhouse 26/5/75; 2006 Remaster,Man,11:09,117,C Major,-5.95db,0%,96%,7%,39%,41%,93%,69%,26th June 2006,GBAYE0600447
808,Flaunt It - Radio Edit,"TV Rock, Seany B",03:28,123,A Major,-6.96db,44%,67%,11%,93%,96%,30%,0%,19th February 2006,AUBM00600021
809,"My Acid Words - live at the Zeche Bochum, Germany, October 11th, 2006",Nevermore,06:03,108,D# Minor,-4.57db,11%,98%,10%,39%,26%,96%,6%,13th July 2008,US4E40831002
810,We Are Your Friends - Justice Vs Simian,"Justice, Simian",04:22,123,A Minor,1.34db,62%,97%,12%,62%,51%,18%,38%,1st January 2006,GBAAA0600209
811,Rose Room - Live Rome Marevio Classic Jazz Festival 2006,Lino Patruno,08:02,100,G# Major,-6.63db,0%,62%,6%,58%,72%,89%,0%,20th June 2021,ITE871605480
812,Young Years,Dragon,03:45,147,F# Major,-5.91db,38%,89%,3%,57%,91%,14%,0%,1st January 2006,AULI00621090
813,"Inside Four Walls - live at the Zeche Bochum, Germany, October 11th, 2...",Nevermore,05:19,107,G# Major,-5.22db,9%,98%,11%,44%,21%,83%,7%,13th July 2008,US4E40831013
814,"Kernkraft 400 - DJ Gius Mix, Radio Edit",Zombie Nation,03:27,140,F# Major,-8.79db,63%,53%,7%,71%,30%,8%,85%,7th March 2006,DE-Z20-06-00039
815,Polonia in Fiamme,Ennio Morricone,03:08,119,D Minor,-10.25db,0%,84%,28%,56%,45%,85%,89%,5th September 2012,ITI800800070
816,Promise,Ciara,04:27,123,A Major,-5.76db,57%,63%,4%,70%,44%,8%,0%,20th June 2021,USLF20600562
817,"Dreaming Neon Black - live at the Zeche Bochum, Germany, October 11th,...",Nevermore,06:32,130,A Major,-5.73db,9%,75%,4%,21%,16%,64%,1%,13th July 2008,US4E40831010
818,Your Touch,The Black Keys,02:42,116,E Minor,-8.7db,61%,77%,6%,53%,70%,38%,0%,12th September 2006,USNO10696702
819,"Next In Line - live at the Zeche Bochum, Germany, October 11th, 2006",Nevermore,05:20,119,C# Major,-4.71db,10%,100%,12%,37%,4%,66%,27%,13th July 2008,US4E40831004
820,MakeDamnSure,Taking Back Sunday,03:28,140,F# Major,-5.61db,64%,84%,5%,55%,43%,37%,0%,25th April 2006,USWB10600586
821,"Enemies of Reality - live at the Zeche Bochum, Germany, October 11th, ...",Nevermore,04:51,89,F# Major,-4.56db,11%,99%,8%,36%,8%,84%,22%,13th July 2008,US4E40831005
822,Especially in Michigan,Red Hot Chili Peppers,04:00,103,F# Minor,-3.7db,59%,83%,3%,47%,36%,10%,0%,9th May 2006,USWB10601599
823,"The Heart Collector - live at the Zeche Bochum, Germany, October 11th,...",Nevermore,06:53,128,G# Major,-5.55db,10%,87%,6%,41%,29%,77%,0%,13th July 2008,US4E40831017
824,When There Was Me and You,Vanessa Hudgens,03:00,120,A Major,-5.59db,56%,74%,4%,57%,26%,11%,0%,1st January 2006,USWD10527740
825,Only A Fool Breaks His Own Heart - Mono; 2006 Digital Remaster,Long John Baldry,02:41,183,G Major,-8.16db,0%,58%,3%,41%,52%,10%,0%,1st January 2006,GBAYE0501930
826,Just So You Know,Jesse McCartney,03:53,78,A# Major,-4.88db,57%,82%,3%,58%,52%,33%,0%,1st January 2006,USHR10622287
827,Karol e l'amore,Ennio Morricone,02:07,128,D Minor,-22.61db,0%,18%,4%,17%,4%,38%,97%,5th September 2012,ITI800800069
828,Hump de Bump,Red Hot Chili Peppers,03:33,112,A Minor,-3.15db,57%,97%,4%,69%,90%,7%,0%,9th May 2006,USWB10601594
829,Let Him Go And Let Me Love You - 2006 Digital Remaster,Long John Baldry,02:11,98,G# Major,-8.73db,0%,53%,3%,56%,71%,11%,0%,1st January 2006,GBAYE0501915
830,Eye of the Tiger,Survivor,04:05,109,C Minor,-10.71db,55%,56%,3%,82%,57%,8%,0%,20th June 2021,USVR19600010
831,"I Am the Dog - live at the Zeche Bochum, Germany, October 11th, 2006",Nevermore,04:45,154,A# Major,-4.95db,9%,98%,20%,27%,9%,78%,7%,13th July 2008,US4E40831009
832,In The Morning,Razorlight,03:41,124,E Minor,-3.5db,34%,86%,4%,62%,69%,32%,0%,1st January 2006,GBF080501077
833,"The Politics of Ecstasy - live at the Zeche Bochum, Germany, October 1...",Nevermore,07:35,106,C Major,-4.69db,9%,98%,7%,21%,24%,94%,18%,13th July 2008,US4E40831007
834,All I Need,Daz Dillinger,03:12,93,D Major,-7.12db,35%,66%,24%,80%,54%,13%,0%,1st January 2006,USVI20500457
835,Karol e gli invasori,Ennio Morricone,03:19,123,A Minor,-11.51db,0%,46%,4%,75%,56%,38%,95%,5th September 2012,ITI800800068
836,Ladies Love Country Boys,Trace Adkins,03:41,116,G Major,-4.44db,63%,96%,4%,66%,96%,38%,0%,1st January 2006,USCN10600051
837,Green Glass Windows - 2006 Remastered Version,"Roy Wood with The Kempsey Primary School Choir, The Kempsey Primary School Choir",03:46,141,A Major,-7.62db,2%,82%,3%,69%,92%,19%,0%,3rd April 2006,GBAYE0600006
838,Tim McGraw,Taylor Swift,03:54,76,C Major,-6.46db,53%,50%,3%,57%,45%,12%,0%,24th October 2006,USCJY0603008
839,Let Him Go (And Let Me Love You) - Mono; 2006 Digital Remaster,Long John Baldry,02:09,99,G# Major,-6.72db,0%,59%,3%,49%,71%,20%,0%,1st January 2006,GBAYE0501933
840,Honky Tonk Badonkadonk,Trace Adkins,04:00,124,B Minor,-5.32db,61%,94%,11%,54%,62%,23%,0%,1st January 2006,USCN10500307
841,2006: Internal Recording of the Old Nogales Wall Percussed (Live),Glenn Weyant,08:35,75,B Major,-32.63db,0%,1%,7%,25%,22%,10%,94%,27th May 2016,uscgj1697210
842,,,00:00,81,A Major,-9.76db,0%,35%,2%,57%,40%,9%,0%,1st January 1970,N/A
